method,task,dg_nodes,dg_edges,gs_nodes,gs_edges,rdf_triples,context_tokens
graph_linearization,qa,11.833333333333334,13.0,10.833333333333334,10.0,41.5,43.333333333333336
graph_linearization,summarization,11.833333333333334,13.0,11.833333333333334,13.0,46.5,52.666666666666664
llm_no_context,qa,11.833333333333334,13.0,10.833333333333334,10.0,41.5,0.0
llm_no_context,summarization,11.833333333333334,13.0,11.833333333333334,13.0,46.5,0.0
ns_rag_full,qa,11.833333333333334,13.0,10.833333333333334,10.0,41.5,43.333333333333336
ns_rag_full,summarization,11.833333333333334,13.0,11.833333333333334,13.0,46.5,52.666666666666664
ns_rag_no_minimal,qa,11.833333333333334,13.0,10.833333333333334,10.0,41.5,43.333333333333336
ns_rag_no_minimal,summarization,11.833333333333334,13.0,11.833333333333334,13.0,46.5,52.666666666666664
ns_rag_no_verify,qa,11.833333333333334,13.0,10.833333333333334,10.0,41.5,43.333333333333336
ns_rag_no_verify,summarization,11.833333333333334,13.0,11.833333333333334,13.0,46.5,52.666666666666664
textual_rag,qa,11.833333333333334,13.0,10.833333333333334,10.0,41.5,21.333333333333332
textual_rag,summarization,11.833333333333334,13.0,11.833333333333334,13.0,46.5,21.333333333333332
