method,task,time_graph_construction,time_graph_summarization,time_rdf_transformation,time_generation,time_verification,time_explanation
graph_linearization,qa,0.000122276808333055,0.0003999713083338463,0.0015740050833335554,6.589283333250743e-06,2.5862299999701578e-05,4.980749996737662e-07
graph_linearization,summarization,9.628578333433779e-05,0.00018465039999829476,0.0016079199166668446,7.419516667065788e-06,1.947546666561569e-05,5.272666664761042e-07
llm_no_context,qa,0.00010450474166709967,0.0003684431666655996,0.0015271639666664782,6.5119416678527385e-06,5.245083334178465e-07,4.3893333376843204e-07
llm_no_context,summarization,0.00012550503333296585,0.00015408304999979804,0.0018008613666654109,4.912149999588185e-06,5.098666664575072e-07,4.6981666580829065e-07
ns_rag_full,qa,8.87581999998351e-05,0.00037233203333440675,0.0015270804583328375,6.222908333223624e-06,2.0608166667438846e-05,0.00037155943333324617
ns_rag_full,summarization,8.487610000050457e-05,0.00015278780000045346,0.0018092560666673307,6.636949999953383e-06,1.8098033333539357e-05,0.00035696170000036885
ns_rag_no_minimal,qa,0.00011678557499976705,0.0003576952833334701,0.001547193816667421,5.760099999937059e-06,1.9530591666357585e-05,0.0002487339833326274
ns_rag_no_minimal,summarization,0.0001012736999998746,0.00014698904999974616,0.0017530174000010372,6.587916666470998e-06,1.9911333333292683e-05,0.00029254618333425243
ns_rag_no_verify,qa,0.00015169882500044214,0.0004058441916663232,0.0015782317500002325,6.028866666577907e-06,2.029864166684566e-05,4.3334166655029094e-07
ns_rag_no_verify,summarization,0.00012071398333404204,0.00016752024999912388,0.0017066678333333603,7.17068333244697e-06,1.9856583333440387e-05,4.563666668862728e-07
textual_rag,qa,0.00014055578333310354,0.00039520275000045995,0.0015177389583334625,8.090924999374731e-06,7.361250000078219e-07,5.467666664316084e-07
textual_rag,summarization,8.855843333156107e-05,0.0001446107166655016,0.0017344770333333297,8.058050000414595e-06,7.256833328028733e-07,6.061999989981359e-07
